status file for recon-all
Thu Feb  1 01:44:55 UTC 2018
#@# MotionCor Thu Feb  1 01:45:02 UTC 2018
#@# Talairach Thu Feb  1 01:45:21 UTC 2018
#@# Talairach Failure Detection Thu Feb  1 01:49:29 UTC 2018
#@# Nu Intensity Correction Thu Feb  1 01:49:29 UTC 2018
#@# Intensity Normalization Thu Feb  1 01:54:55 UTC 2018
#@# Skull Stripping Thu Feb  1 01:59:43 UTC 2018
#@# EM Registration Thu Feb  1 02:44:02 UTC 2018
#@# CA Normalize Thu Feb  1 03:13:30 UTC 2018
#@# CA Reg Thu Feb  1 03:17:04 UTC 2018
#@# SubCort Seg Thu Feb  1 08:34:25 UTC 2018
#@# Merge ASeg Thu Feb  1 10:32:40 UTC 2018
#@# Intensity Normalization2 Thu Feb  1 10:32:40 UTC 2018
#@# Mask BFS Thu Feb  1 10:40:20 UTC 2018
#@# WM Segmentation Thu Feb  1 10:40:26 UTC 2018
#@# Fill Thu Feb  1 10:44:58 UTC 2018
#@# Tessellate lh Thu Feb  1 10:46:45 UTC 2018
#@# Tessellate rh Thu Feb  1 10:47:00 UTC 2018
#@# Smooth1 lh Thu Feb  1 10:47:13 UTC 2018
#@# Smooth1 rh Thu Feb  1 10:47:25 UTC 2018
#@# Inflation1 lh Thu Feb  1 10:47:36 UTC 2018
#@# Inflation1 rh Thu Feb  1 10:48:42 UTC 2018
#@# QSphere lh Thu Feb  1 10:49:52 UTC 2018
#@# QSphere rh Thu Feb  1 10:57:46 UTC 2018
#@# Fix Topology Copy lh Thu Feb  1 11:05:28 UTC 2018
#@# Fix Topology Copy rh Thu Feb  1 11:05:29 UTC 2018
#@# Fix Topology lh Thu Feb  1 11:05:29 UTC 2018
#@# Fix Topology rh Thu Feb  1 12:03:40 UTC 2018
#@# Make White Surf lh Thu Feb  1 12:55:54 UTC 2018
#@# Make White Surf rh Thu Feb  1 13:06:19 UTC 2018
#@# Smooth2 lh Thu Feb  1 13:16:36 UTC 2018
#@# Smooth2 rh Thu Feb  1 13:16:47 UTC 2018
#@# Inflation2 lh Thu Feb  1 13:16:58 UTC 2018
#@# Inflation2 rh Thu Feb  1 13:18:06 UTC 2018
#@# Curv .H and .K lh Thu Feb  1 13:19:13 UTC 2018
#@# Curv .H and .K rh Thu Feb  1 13:22:03 UTC 2018
#@# Curvature Stats lh Thu Feb  1 13:24:56 UTC 2018
#@# Curvature Stats rh Thu Feb  1 13:25:06 UTC 2018
#@# Sphere lh Thu Feb  1 13:25:14 UTC 2018
#@# Sphere rh Thu Feb  1 15:00:57 UTC 2018
#@# Surf Reg lh Thu Feb  1 16:38:40 UTC 2018
#@# Surf Reg rh Thu Feb  1 18:13:30 UTC 2018
#@# Jacobian white lh Thu Feb  1 20:03:40 UTC 2018
#@# Jacobian white rh Thu Feb  1 20:03:45 UTC 2018
#@# AvgCurv lh Thu Feb  1 20:03:50 UTC 2018
#@# AvgCurv rh Thu Feb  1 20:03:53 UTC 2018
#@# Cortical Parc lh Thu Feb  1 20:03:56 UTC 2018
#@# Cortical Parc rh Thu Feb  1 20:04:29 UTC 2018
#@# Make Pial Surf lh Thu Feb  1 20:05:00 UTC 2018
#@# Make Pial Surf rh Thu Feb  1 20:34:51 UTC 2018
#@# Surf Volume lh Thu Feb  1 21:04:33 UTC 2018
#@# Surf Volume rh Thu Feb  1 21:04:41 UTC 2018
#@# Cortical ribbon mask Thu Feb  1 21:04:48 UTC 2018
#@# Parcellation Stats lh Thu Feb  1 21:35:36 UTC 2018
#@# Parcellation Stats rh Thu Feb  1 21:38:23 UTC 2018
#@# Cortical Parc 2 lh Thu Feb  1 21:41:15 UTC 2018
#@# Cortical Parc 2 rh Thu Feb  1 21:41:54 UTC 2018
#@# Parcellation Stats 2 lh Thu Feb  1 21:42:34 UTC 2018
#@# Parcellation Stats 2 rh Thu Feb  1 21:43:45 UTC 2018
#@# Cortical Parc 3 lh Thu Feb  1 21:44:54 UTC 2018
#@# Cortical Parc 3 rh Thu Feb  1 21:45:17 UTC 2018
#@# Parcellation Stats 3 lh Thu Feb  1 21:45:41 UTC 2018
#@# Parcellation Stats 3 rh Thu Feb  1 21:46:47 UTC 2018
#@# WM/GM Contrast lh Thu Feb  1 21:47:53 UTC 2018
#@# WM/GM Contrast rh Thu Feb  1 21:48:04 UTC 2018
#@# Relabel Hypointensities Thu Feb  1 21:48:14 UTC 2018
#@# AParc-to-ASeg aparc Thu Feb  1 21:48:50 UTC 2018
#@# AParc-to-ASeg a2009s Thu Feb  1 21:56:20 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Feb  1 22:03:51 UTC 2018
#@# APas-to-ASeg Thu Feb  1 22:11:23 UTC 2018
#@# ASeg Stats Thu Feb  1 22:11:34 UTC 2018
#@# WMParc Thu Feb  1 22:18:40 UTC 2018
#@# BA_exvivo Labels lh Thu Feb  1 22:36:14 UTC 2018
#@# BA_exvivo Labels rh Thu Feb  1 22:44:17 UTC 2018
recon-all -s 3151 finished without error at Thu Feb  1 22:52:27 UTC 2018
