status file for recon-all
Sun Feb  4 20:24:40 UTC 2018
#@# MotionCor Sun Feb  4 20:24:43 UTC 2018
#@# Talairach Sun Feb  4 20:24:55 UTC 2018
#@# Talairach Failure Detection Sun Feb  4 20:27:38 UTC 2018
#@# Nu Intensity Correction Sun Feb  4 20:27:39 UTC 2018
#@# Intensity Normalization Sun Feb  4 20:30:47 UTC 2018
#@# Skull Stripping Sun Feb  4 20:34:29 UTC 2018
#@# EM Registration Sun Feb  4 21:00:30 UTC 2018
#@# CA Normalize Sun Feb  4 21:24:30 UTC 2018
#@# CA Reg Sun Feb  4 21:27:09 UTC 2018
#@# SubCort Seg Mon Feb  5 01:21:00 UTC 2018
#@# Merge ASeg Mon Feb  5 02:51:13 UTC 2018
#@# Intensity Normalization2 Mon Feb  5 02:51:13 UTC 2018
#@# Mask BFS Mon Feb  5 02:57:17 UTC 2018
#@# WM Segmentation Mon Feb  5 02:57:20 UTC 2018
#@# Fill Mon Feb  5 03:00:31 UTC 2018
#@# Tessellate lh Mon Feb  5 03:01:57 UTC 2018
#@# Tessellate rh Mon Feb  5 03:02:06 UTC 2018
#@# Smooth1 lh Mon Feb  5 03:02:15 UTC 2018
#@# Smooth1 rh Mon Feb  5 03:02:22 UTC 2018
#@# Inflation1 lh Mon Feb  5 03:02:30 UTC 2018
#@# Inflation1 rh Mon Feb  5 03:03:15 UTC 2018
#@# QSphere lh Mon Feb  5 03:04:00 UTC 2018
#@# QSphere rh Mon Feb  5 03:09:04 UTC 2018
#@# Fix Topology Copy lh Mon Feb  5 03:14:38 UTC 2018
#@# Fix Topology Copy rh Mon Feb  5 03:14:38 UTC 2018
#@# Fix Topology lh Mon Feb  5 03:14:38 UTC 2018
#@# Fix Topology rh Mon Feb  5 03:40:32 UTC 2018
#@# Make White Surf lh Mon Feb  5 04:13:14 UTC 2018
#@# Make White Surf rh Mon Feb  5 04:20:29 UTC 2018
#@# Smooth2 lh Mon Feb  5 04:27:49 UTC 2018
#@# Smooth2 rh Mon Feb  5 04:27:57 UTC 2018
#@# Inflation2 lh Mon Feb  5 04:28:04 UTC 2018
#@# Inflation2 rh Mon Feb  5 04:28:49 UTC 2018
#@# Curv .H and .K lh Mon Feb  5 04:29:34 UTC 2018
#@# Curv .H and .K rh Mon Feb  5 04:31:32 UTC 2018
#@# Curvature Stats lh Mon Feb  5 04:33:25 UTC 2018
#@# Curvature Stats rh Mon Feb  5 04:33:30 UTC 2018
#@# Sphere lh Mon Feb  5 04:33:36 UTC 2018
#@# Sphere rh Mon Feb  5 05:30:48 UTC 2018
#@# Surf Reg lh Mon Feb  5 06:29:16 UTC 2018
#@# Surf Reg rh Mon Feb  5 07:33:04 UTC 2018
#@# Jacobian white lh Mon Feb  5 08:35:43 UTC 2018
#@# Jacobian white rh Mon Feb  5 08:35:45 UTC 2018
#@# AvgCurv lh Mon Feb  5 08:35:48 UTC 2018
#@# AvgCurv rh Mon Feb  5 08:35:50 UTC 2018
#@# Cortical Parc lh Mon Feb  5 08:35:52 UTC 2018
#@# Cortical Parc rh Mon Feb  5 08:36:16 UTC 2018
#@# Make Pial Surf lh Mon Feb  5 08:36:39 UTC 2018
#@# Make Pial Surf rh Mon Feb  5 08:57:22 UTC 2018
#@# Surf Volume lh Mon Feb  5 09:17:09 UTC 2018
#@# Surf Volume rh Mon Feb  5 09:17:14 UTC 2018
#@# Cortical ribbon mask Mon Feb  5 09:17:18 UTC 2018
#@# Parcellation Stats lh Mon Feb  5 09:34:17 UTC 2018
#@# Parcellation Stats rh Mon Feb  5 09:36:13 UTC 2018
#@# Cortical Parc 2 lh Mon Feb  5 09:38:10 UTC 2018
#@# Cortical Parc 2 rh Mon Feb  5 09:38:36 UTC 2018
#@# Parcellation Stats 2 lh Mon Feb  5 09:39:04 UTC 2018
#@# Parcellation Stats 2 rh Mon Feb  5 09:40:02 UTC 2018
#@# Cortical Parc 3 lh Mon Feb  5 09:41:00 UTC 2018
#@# Cortical Parc 3 rh Mon Feb  5 09:41:21 UTC 2018
#@# Parcellation Stats 3 lh Mon Feb  5 09:41:42 UTC 2018
#@# Parcellation Stats 3 rh Mon Feb  5 09:42:39 UTC 2018
#@# WM/GM Contrast lh Mon Feb  5 09:43:34 UTC 2018
#@# WM/GM Contrast rh Mon Feb  5 09:43:43 UTC 2018
#@# Relabel Hypointensities Mon Feb  5 09:43:51 UTC 2018
#@# AParc-to-ASeg aparc Mon Feb  5 09:44:22 UTC 2018
#@# AParc-to-ASeg a2009s Mon Feb  5 09:51:58 UTC 2018
#@# AParc-to-ASeg DKTatlas Mon Feb  5 09:59:52 UTC 2018
#@# APas-to-ASeg Mon Feb  5 10:07:50 UTC 2018
#@# ASeg Stats Mon Feb  5 10:08:02 UTC 2018
#@# WMParc Mon Feb  5 10:13:45 UTC 2018
#@# BA_exvivo Labels lh Mon Feb  5 10:29:41 UTC 2018
#@# BA_exvivo Labels rh Mon Feb  5 10:37:13 UTC 2018
recon-all -s 3702 finished without error at Mon Feb  5 10:44:40 UTC 2018
