status file for recon-all
Sun Feb  4 20:24:47 UTC 2018
#@# MotionCor Sun Feb  4 20:24:53 UTC 2018
#@# Talairach Sun Feb  4 20:25:07 UTC 2018
#@# Talairach Failure Detection Sun Feb  4 20:27:42 UTC 2018
#@# Nu Intensity Correction Sun Feb  4 20:27:42 UTC 2018
#@# Intensity Normalization Sun Feb  4 20:30:36 UTC 2018
#@# Skull Stripping Sun Feb  4 20:34:01 UTC 2018
#@# EM Registration Sun Feb  4 21:02:43 UTC 2018
#@# CA Normalize Sun Feb  4 21:30:44 UTC 2018
#@# CA Reg Sun Feb  4 21:33:10 UTC 2018
#@# SubCort Seg Mon Feb  5 01:22:51 UTC 2018
#@# Merge ASeg Mon Feb  5 03:28:41 UTC 2018
#@# Intensity Normalization2 Mon Feb  5 03:28:41 UTC 2018
#@# Mask BFS Mon Feb  5 03:34:19 UTC 2018
#@# WM Segmentation Mon Feb  5 03:34:22 UTC 2018
#@# Fill Mon Feb  5 03:38:28 UTC 2018
#@# Tessellate lh Mon Feb  5 03:39:49 UTC 2018
#@# Tessellate rh Mon Feb  5 03:40:00 UTC 2018
#@# Smooth1 lh Mon Feb  5 03:40:11 UTC 2018
#@# Smooth1 rh Mon Feb  5 03:40:21 UTC 2018
#@# Inflation1 lh Mon Feb  5 03:40:30 UTC 2018
#@# Inflation1 rh Mon Feb  5 03:41:28 UTC 2018
#@# QSphere lh Mon Feb  5 03:42:25 UTC 2018
#@# QSphere rh Mon Feb  5 03:48:23 UTC 2018
#@# Fix Topology Copy lh Mon Feb  5 03:54:23 UTC 2018
#@# Fix Topology Copy rh Mon Feb  5 03:54:23 UTC 2018
#@# Fix Topology lh Mon Feb  5 03:54:23 UTC 2018
#@# Fix Topology rh Mon Feb  5 05:13:36 UTC 2018
#@# Make White Surf lh Mon Feb  5 06:24:46 UTC 2018
#@# Make White Surf rh Mon Feb  5 06:33:16 UTC 2018
#@# Smooth2 lh Mon Feb  5 06:41:01 UTC 2018
#@# Smooth2 rh Mon Feb  5 06:41:11 UTC 2018
#@# Inflation2 lh Mon Feb  5 06:41:20 UTC 2018
#@# Inflation2 rh Mon Feb  5 06:42:17 UTC 2018
#@# Curv .H and .K lh Mon Feb  5 06:43:12 UTC 2018
#@# Curv .H and .K rh Mon Feb  5 06:45:36 UTC 2018
#@# Curvature Stats lh Mon Feb  5 06:48:00 UTC 2018
#@# Curvature Stats rh Mon Feb  5 06:48:07 UTC 2018
#@# Sphere lh Mon Feb  5 06:48:14 UTC 2018
#@# Sphere rh Mon Feb  5 08:35:07 UTC 2018
#@# Surf Reg lh Mon Feb  5 10:10:34 UTC 2018
#@# Surf Reg rh Mon Feb  5 11:31:36 UTC 2018
#@# Jacobian white lh Mon Feb  5 12:58:19 UTC 2018
#@# Jacobian white rh Mon Feb  5 12:58:22 UTC 2018
#@# AvgCurv lh Mon Feb  5 12:58:25 UTC 2018
#@# AvgCurv rh Mon Feb  5 12:58:27 UTC 2018
#@# Cortical Parc lh Mon Feb  5 12:58:30 UTC 2018
#@# Cortical Parc rh Mon Feb  5 12:58:53 UTC 2018
#@# Make Pial Surf lh Mon Feb  5 12:59:16 UTC 2018
#@# Make Pial Surf rh Mon Feb  5 13:22:27 UTC 2018
#@# Surf Volume lh Mon Feb  5 13:45:11 UTC 2018
#@# Surf Volume rh Mon Feb  5 13:45:17 UTC 2018
#@# Cortical ribbon mask Mon Feb  5 13:45:22 UTC 2018
#@# Parcellation Stats lh Mon Feb  5 14:01:50 UTC 2018
#@# Parcellation Stats rh Mon Feb  5 14:04:02 UTC 2018
#@# Cortical Parc 2 lh Mon Feb  5 14:06:13 UTC 2018
#@# Cortical Parc 2 rh Mon Feb  5 14:06:43 UTC 2018
#@# Parcellation Stats 2 lh Mon Feb  5 14:07:12 UTC 2018
#@# Parcellation Stats 2 rh Mon Feb  5 14:08:18 UTC 2018
#@# Cortical Parc 3 lh Mon Feb  5 14:09:24 UTC 2018
#@# Cortical Parc 3 rh Mon Feb  5 14:09:48 UTC 2018
#@# Parcellation Stats 3 lh Mon Feb  5 14:10:11 UTC 2018
#@# Parcellation Stats 3 rh Mon Feb  5 14:11:15 UTC 2018
#@# WM/GM Contrast lh Mon Feb  5 14:12:21 UTC 2018
#@# WM/GM Contrast rh Mon Feb  5 14:12:31 UTC 2018
#@# Relabel Hypointensities Mon Feb  5 14:12:41 UTC 2018
#@# AParc-to-ASeg aparc Mon Feb  5 14:13:16 UTC 2018
#@# AParc-to-ASeg a2009s Mon Feb  5 14:19:51 UTC 2018
#@# AParc-to-ASeg DKTatlas Mon Feb  5 14:26:28 UTC 2018
#@# APas-to-ASeg Mon Feb  5 14:33:10 UTC 2018
#@# ASeg Stats Mon Feb  5 14:33:20 UTC 2018
#@# WMParc Mon Feb  5 14:37:33 UTC 2018
#@# BA_exvivo Labels lh Mon Feb  5 14:52:27 UTC 2018
#@# BA_exvivo Labels rh Mon Feb  5 15:00:17 UTC 2018
recon-all -s 3704 finished without error at Mon Feb  5 15:07:58 UTC 2018
